week_start,store_id,product_id,opening_qty,received_qty,sold_qty,closing_qty,shrinkage_qty
2025-12-21,1,1,60,86,45,101,0
2025-12-21,1,2,84,84,72,96,2
2025-12-21,1,3,60,74,55,79,2
2025-12-21,1,4,71,71,56,86,0
2025-12-21,1,5,65,88,47,106,0
2025-12-21,1,6,50,50,42,58,1
2025-12-21,1,7,64,64,55,73,1
2025-12-21,1,8,62,91,44,109,2
2025-12-21,1,9,68,68,50,86,0
2025-12-21,1,10,57,57,41,73,0
2025-12-21,1,11,56,69,39,86,0
2025-12-21,1,12,63,63,45,81,0
2025-12-21,1,13,70,70,59,81,1
2025-12-21,1,14,65,71,51,85,0
2025-12-21,1,15,72,89,55,106,1
2025-12-21,1,16,74,77,55,96,1
2025-12-21,1,17,61,75,49,87,0
2025-12-21,1,18,81,82,61,102,1
2025-12-21,1,19,43,61,31,73,0
2025-12-21,1,20,65,77,46,96,1
2025-12-21,2,1,55,58,35,78,1
2025-12-21,2,2,42,42,23,61,0
2025-12-21,2,3,40,40,22,58,0
2025-12-21,2,4,40,55,35,60,0
2025-12-21,2,5,34,38,16,56,0
2025-12-21,2,6,52,52,35,69,0
2025-12-21,2,7,26,36,17,45,0
2025-12-21,2,8,40,52,27,65,0
2025-12-21,2,9,34,49,29,54,0
2025-12-21,2,10,36,38,25,49,0
2025-12-21,2,11,62,63,45,80,0
2025-12-21,2,12,53,53,47,59,0
2025-12-21,2,13,36,37,28,45,0
2025-12-21,2,14,55,55,42,68,1
2025-12-21,2,15,43,43,26,60,0
2025-12-21,2,16,44,50,31,63,0
2025-12-21,2,17,38,46,18,66,1
2025-12-21,2,18,42,45,26,61,0
2025-12-21,2,19,34,34,21,47,0
2025-12-21,2,20,43,63,29,77,0
2025-12-21,3,1,40,59,34,65,1
2025-12-21,3,2,56,56,37,75,0
2025-12-21,3,3,28,28,19,37,0
2025-12-21,3,4,61,64,44,81,1
2025-12-21,3,5,37,44,26,55,0
2025-12-21,3,6,51,64,37,78,0
2025-12-21,3,7,63,63,45,81,0
2025-12-21,3,8,64,80,45,99,2
2025-12-21,3,9,58,58,51,65,1
2025-12-21,3,10,41,53,35,59,0
2025-12-21,3,11,59,87,39,107,1
2025-12-21,3,12,53,56,47,62,0
2025-12-21,3,13,60,61,41,80,0
2025-12-21,3,14,54,77,45,86,1
2025-12-21,3,15,52,55,44,63,1
2025-12-21,3,16,58,86,38,106,1
2025-12-21,3,17,22,22,15,29,0
2025-12-21,3,18,58,79,44,93,1
2025-12-21,3,19,45,47,28,64,0
2025-12-21,3,20,44,44,38,50,1
2025-12-21,4,1,86,86,67,105,0
2025-12-21,4,2,64,88,57,95,2
2025-12-21,4,3,53,63,47,69,1
2025-12-21,4,4,81,115,67,129,2
2025-12-21,4,5,71,84,54,101,2
2025-12-21,4,6,47,66,42,71,0
2025-12-21,4,7,67,81,53,95,0
2025-12-21,4,8,67,67,55,79,0
2025-12-21,4,9,96,126,82,140,3
2025-12-21,4,10,51,61,42,70,1
2025-12-21,4,11,57,81,50,88,1
2025-12-21,4,12,48,65,35,78,1
2025-12-21,4,13,53,56,45,64,1
2025-12-21,4,14,60,60,44,76,0
2025-12-21,4,15,59,80,42,97,0
2025-12-21,4,16,70,84,63,91,1
2025-12-21,4,17,67,67,58,76,1
2025-12-21,4,18,73,89,55,107,1
2025-12-21,4,19,75,109,56,128,0
2025-12-21,4,20,69,69,52,86,1
2025-12-21,5,1,39,39,34,44,1
2025-12-21,5,2,46,62,35,73,1
2025-12-21,5,3,45,50,36,59,0
2025-12-21,5,4,51,51,36,66,0
2025-12-21,5,5,52,75,40,87,1
2025-12-21,5,6,43,64,37,70,0
2025-12-21,5,7,37,37,28,46,0
2025-12-21,5,8,39,53,31,61,1
2025-12-21,5,9,51,69,36,84,1
2025-12-21,5,10,42,42,22,62,0
2025-12-21,5,11,54,66,39,81,1
2025-12-21,5,12,52,61,38,75,1
2025-12-21,5,13,35,35,19,51,0
2025-12-21,5,14,37,43,32,48,0
2025-12-21,5,15,42,42,26,58,0
2025-12-21,5,16,42,42,31,53,0
2025-12-21,5,17,34,34,28,40,0
2025-12-21,5,18,43,43,25,61,0
2025-12-21,5,19,44,44,30,58,0
2025-12-21,5,20,27,29,22,34,0
2025-12-21,6,1,49,49,33,65,0
2025-12-21,6,2,59,59,41,77,1
2025-12-21,6,3,39,39,31,47,0
2025-12-21,6,4,43,43,33,53,0
2025-12-21,6,5,30,30,21,39,0
2025-12-21,6,6,56,59,36,79,1
2025-12-21,6,7,62,86,47,101,0
2025-12-21,6,8,32,32,26,38,0
2025-12-21,6,9,37,44,30,51,0
2025-12-21,6,10,44,44,33,55,0
2025-12-21,6,11,51,51,41,61,1
2025-12-21,6,12,52,53,35,70,0
2025-12-21,6,13,54,54,45,63,0
2025-12-21,6,14,52,59,38,73,0
2025-12-21,6,15,30,36,23,43,0
2025-12-21,6,16,53,53,33,73,0
2025-12-21,6,17,30,36,24,42,0
2025-12-21,6,18,44,56,34,66,0
2025-12-21,6,19,48,48,36,60,0
2025-12-21,6,20,54,71,35,90,1
2025-12-21,7,1,48,48,35,61,0
2025-12-21,7,2,55,74,43,86,2
2025-12-21,7,3,30,30,23,37,0
2025-12-21,7,4,60,86,46,100,2
2025-12-21,7,5,33,33,28,38,0
2025-12-21,7,6,63,63,44,82,0
2025-12-21,7,7,53,55,39,69,0
2025-12-21,7,8,43,43,38,48,0
2025-12-21,7,9,49,49,34,64,0
2025-12-21,7,10,61,73,41,93,0
2025-12-21,7,11,55,77,44,88,0
2025-12-21,7,12,44,44,33,55,0
2025-12-21,7,13,53,68,36,85,0
2025-12-21,7,14,61,81,48,94,0
2025-12-21,7,15,48,48,41,55,0
2025-12-21,7,16,56,66,40,82,1
2025-12-21,7,17,36,52,26,62,0
2025-12-21,7,18,53,77,34,96,1
2025-12-21,7,19,37,54,25,66,0
2025-12-21,7,20,70,70,50,90,0
2025-12-21,8,1,36,44,21,59,0
2025-12-21,8,2,45,45,36,54,0
2025-12-21,8,3,37,37,30,44,0
2025-12-21,8,4,40,59,31,68,0
2025-12-21,8,5,41,53,31,63,0
2025-12-21,8,6,50,50,37,63,0
2025-12-21,8,7,54,74,39,89,1
2025-12-21,8,8,50,59,32,77,1
2025-12-21,8,9,50,50,33,67,0
2025-12-21,8,10,37,51,22,66,1
2025-12-21,8,11,38,38,30,46,0
2025-12-21,8,12,47,47,29,65,0
2025-12-21,8,13,41,61,21,81,1
2025-12-21,8,14,44,44,32,56,0
2025-12-21,8,15,34,46,29,51,1
2025-12-21,8,16,49,49,38,60,0
2025-12-21,8,17,36,36,28,44,0
2025-12-21,8,18,35,35,29,41,0
2025-12-21,8,19,44,63,29,78,0
2025-12-21,8,20,48,60,28,80,1
2025-12-21,9,1,52,61,47,66,1
2025-12-21,9,2,71,71,54,88,0
2025-12-21,9,3,59,74,53,80,1
2025-12-21,9,4,66,78,53,91,0
2025-12-21,9,5,66,83,52,97,1
2025-12-21,9,6,65,65,51,79,0
2025-12-21,9,7,69,84,50,103,0
2025-12-21,9,8,66,78,58,86,0
2025-12-21,9,9,79,79,61,97,1
2025-12-21,9,10,79,79,65,93,2
2025-12-21,9,11,50,71,44,77,1
2025-12-21,9,12,79,110,65,124,1
2025-12-21,9,13,69,69,50,88,0
2025-12-21,9,14,64,73,50,87,0
2025-12-21,9,15,75,75,70,80,1
2025-12-21,9,16,59,59,47,71,0
2025-12-21,9,17,62,77,48,91,2
2025-12-21,9,18,69,89,50,108,1
2025-12-21,9,19,63,82,52,93,1
2025-12-21,9,20,64,64,56,72,0
2025-12-21,10,1,58,72,50,80,1
2025-12-21,10,2,89,113,75,127,2
2025-12-21,10,3,83,123,76,130,1
2025-12-21,10,4,65,65,47,83,0
2025-12-21,10,5,84,94,67,111,0
2025-12-21,10,6,54,54,42,66,0
2025-12-21,10,7,43,43,36,50,0
2025-12-21,10,8,64,72,52,84,1
2025-12-21,10,9,68,68,56,80,1
2025-12-21,10,10,69,100,53,116,2
2025-12-21,10,11,71,98,57,112,1
2025-12-21,10,12,59,59,42,76,1
2025-12-21,10,13,48,48,41,55,1
2025-12-21,10,14,60,60,55,65,1
2025-12-21,10,15,73,74,62,85,0
2025-12-21,10,16,63,69,47,85,0
2025-12-21,10,17,75,75,59,91,1
2025-12-21,10,18,62,62,51,73,1
2025-12-21,10,19,68,100,48,120,1
2025-12-21,10,20,38,42,32,48,0
2025-12-21,11,1,63,77,43,97,1
2025-12-21,11,2,51,51,37,65,1
2025-12-21,11,3,34,45,21,58,1
2025-12-21,11,4,44,53,37,60,1
2025-12-21,11,5,25,31,20,36,0
2025-12-21,11,6,44,44,38,50,0
2025-12-21,11,7,52,73,39,86,0
2025-12-21,11,8,59,85,42,102,1
2025-12-21,11,9,60,78,43,95,2
2025-12-21,11,10,56,56,38,74,1
2025-12-21,11,11,55,72,42,85,0
2025-12-21,11,12,56,56,39,73,1
2025-12-21,11,13,60,63,46,77,0
2025-12-21,11,14,41,41,33,49,0
2025-12-21,11,15,54,71,37,88,1
2025-12-21,11,16,56,58,43,71,0
2025-12-21,11,17,33,35,22,46,0
2025-12-21,11,18,49,49,30,68,1
2025-12-21,11,19,35,45,21,59,1
2025-12-21,11,20,54,54,38,70,0
2025-12-21,12,1,63,91,44,110,2
2025-12-21,12,2,56,71,47,80,0
2025-12-21,12,3,34,45,28,51,1
2025-12-21,12,4,73,107,56,124,2
2025-12-21,12,5,33,34,21,46,0
2025-12-21,12,6,51,52,37,66,0
2025-12-21,12,7,61,61,41,81,0
2025-12-21,12,8,53,58,41,70,0
2025-12-21,12,9,55,66,45,76,0
2025-12-21,12,10,53,53,42,64,1
2025-12-21,12,11,65,80,52,93,2
2025-12-21,12,12,58,79,42,95,1
2025-12-21,12,13,52,52,43,61,0
2025-12-21,12,14,62,64,45,81,1
2025-12-21,12,15,58,69,39,88,1
2025-12-21,12,16,65,66,45,86,1
2025-12-21,12,17,40,40,28,52,0
2025-12-21,12,18,44,50,36,58,0
2025-12-21,12,19,55,55,37,73,1
2025-12-21,12,20,47,62,39,70,1
2025-12-21,13,1,75,89,65,99,2
2025-12-21,13,2,86,86,76,96,0
2025-12-21,13,3,65,70,48,87,0
2025-12-21,13,4,70,71,63,78,1
2025-12-21,13,5,79,101,72,108,2
2025-12-21,13,6,78,106,60,124,1
2025-12-21,13,7,99,99,80,118,0
2025-12-21,13,8,54,54,38,70,1
2025-12-21,13,9,71,74,59,86,0
2025-12-21,13,10,73,73,54,92,1
2025-12-21,13,11,112,112,97,127,1
2025-12-21,13,12,99,142,90,151,1
2025-12-21,13,13,70,70,52,88,0
2025-12-21,13,14,59,81,54,86,0
2025-12-21,13,15,69,91,63,97,0
2025-12-21,13,16,68,101,63,106,0
2025-12-21,13,17,94,137,74,157,0
2025-12-21,13,18,90,93,72,111,1
2025-12-21,13,19,96,97,81,112,2
2025-12-21,13,20,73,73,61,85,0
2025-12-21,14,1,42,42,32,52,0
2025-12-21,14,2,44,57,35,66,1
2025-12-21,14,3,37,40,30,47,0
2025-12-21,14,4,58,58,53,63,0
2025-12-21,14,5,56,56,41,71,0
2025-12-21,14,6,54,75,47,82,1
2025-12-21,14,7,46,52,32,66,0
2025-12-21,14,8,43,55,32,66,1
2025-12-21,14,9,56,56,42,70,0
2025-12-21,14,10,38,38,31,45,0
2025-12-21,14,11,37,40,29,48,0
2025-12-21,14,12,49,49,35,63,1
2025-12-21,14,13,44,64,37,71,1
2025-12-21,14,14,55,55,47,63,0
2025-12-21,14,15,46,46,37,55,0
2025-12-21,14,16,40,58,35,63,0
2025-12-21,14,17,46,46,37,55,0
2025-12-21,14,18,62,62,47,77,0
2025-12-21,14,19,55,68,38,85,0
2025-12-21,14,20,39,47,27,59,1
2025-12-21,15,1,42,50,30,62,1
2025-12-21,15,2,44,44,29,59,0
2025-12-21,15,3,27,35,21,41,0
2025-12-21,15,4,47,47,37,57,1
2025-12-21,15,5,45,51,25,71,0
2025-12-21,15,6,33,47,23,57,0
2025-12-21,15,7,45,45,37,53,1
2025-12-21,15,8,48,48,33,63,0
2025-12-21,15,9,51,70,34,87,1
2025-12-21,15,10,33,47,25,55,1
2025-12-21,15,11,54,67,42,79,1
2025-12-21,15,12,43,60,33,70,0
2025-12-21,15,13,40,40,28,52,1
2025-12-21,15,14,40,56,30,66,0
2025-12-21,15,15,35,35,29,41,0
2025-12-21,15,16,51,51,37,65,0
2025-12-21,15,17,46,46,26,66,0
2025-12-21,15,18,45,48,28,65,0
2025-12-21,15,19,31,32,21,42,0
2025-12-21,15,20,41,46,29,58,1
2025-12-21,16,1,50,54,38,66,1
2025-12-21,16,2,55,55,46,64,0
2025-12-21,16,3,60,60,42,78,0
2025-12-21,16,4,50,50,43,57,0
2025-12-21,16,5,53,53,35,71,0
2025-12-21,16,6,71,71,53,89,1
2025-12-21,16,7,58,58,41,75,0
2025-12-21,16,8,35,35,30,40,0
2025-12-21,16,9,54,54,39,69,1
2025-12-21,16,10,49,66,33,82,0
2025-12-21,16,11,65,65,46,84,0
2025-12-21,16,12,44,44,39,49,0
2025-12-21,16,13,59,76,46,89,0
2025-12-21,16,14,54,65,42,77,0
2025-12-21,16,15,44,47,39,52,0
2025-12-21,16,16,58,60,45,73,0
2025-12-21,16,17,51,59,34,76,1
2025-12-21,16,18,61,61,41,81,1
2025-12-21,16,19,58,58,44,72,0
2025-12-21,16,20,47,57,42,62,0
2025-12-21,17,1,61,86,41,106,1
2025-12-21,17,2,69,100,59,110,1
2025-12-21,17,3,48,48,33,63,0
2025-12-21,17,4,53,58,42,69,0
2025-12-21,17,5,46,46,35,57,1
2025-12-21,17,6,70,70,51,89,0
2025-12-21,17,7,62,74,44,92,2
2025-12-21,17,8,41,57,36,62,0
2025-12-21,17,9,51,51,43,59,0
2025-12-21,17,10,48,50,33,65,0
2025-12-21,17,11,48,48,43,53,0
2025-12-21,17,12,61,71,55,77,0
2025-12-21,17,13,33,33,28,38,0
2025-12-21,17,14,49,53,41,61,1
2025-12-21,17,15,55,55,50,60,0
2025-12-21,17,16,47,60,40,67,0
2025-12-21,17,17,61,78,43,96,1
2025-12-21,17,18,52,72,39,85,1
2025-12-21,17,19,49,61,32,78,0
2025-12-21,17,20,61,81,41,101,0
2025-12-21,18,1,61,61,55,67,0
2025-12-21,18,2,73,108,61,120,1
2025-12-21,18,3,68,68,62,74,1
2025-12-21,18,4,75,85,63,97,2
2025-12-21,18,5,59,62,39,82,0
2025-12-21,18,6,56,76,51,81,2
2025-12-21,18,7,86,125,67,144,0
2025-12-21,18,8,63,80,43,100,1
2025-12-21,18,9,60,60,52,68,0
2025-12-21,18,10,74,94,63,105,1
2025-12-21,18,11,67,98,58,107,2
2025-12-21,18,12,63,78,53,88,1
2025-12-21,18,13,49,50,32,67,1
2025-12-21,18,14,58,58,49,67,1
2025-12-21,18,15,61,61,50,72,0
2025-12-21,18,16,56,61,46,71,0
2025-12-21,18,17,59,73,41,91,1
2025-12-21,18,18,74,96,61,109,0
2025-12-21,18,19,35,35,29,41,0
2025-12-21,18,20,68,68,51,85,1
2025-12-21,19,1,43,63,28,78,1
2025-12-21,19,2,56,73,40,89,1
2025-12-21,19,3,41,52,31,62,0
2025-12-21,19,4,44,63,35,72,1
2025-12-21,19,5,55,55,39,71,0
2025-12-21,19,6,58,58,41,75,0
2025-12-21,19,7,53,79,33,99,2
2025-12-21,19,8,35,43,29,49,1
2025-12-21,19,9,58,64,42,80,0
2025-12-21,19,10,34,34,26,42,0
2025-12-21,19,11,51,51,43,59,1
2025-12-21,19,12,47,47,38,56,0
2025-12-21,19,13,47,47,29,65,0
2025-12-21,19,14,43,54,37,60,1
2025-12-21,19,15,49,66,32,83,0
2025-12-21,19,16,40,58,26,72,1
2025-12-21,19,17,45,45,36,54,0
2025-12-21,19,18,55,55,39,71,1
2025-12-21,19,19,37,37,29,45,0
2025-12-21,19,20,46,56,37,65,0
2025-12-21,20,1,51,63,37,77,1
2025-12-21,20,2,58,58,40,76,1
2025-12-21,20,3,47,53,27,73,0
2025-12-21,20,4,44,56,37,63,1
2025-12-21,20,5,46,65,35,76,1
2025-12-21,20,6,62,62,48,76,0
2025-12-21,20,7,87,87,67,107,0
2025-12-21,20,8,66,92,47,111,1
2025-12-21,20,9,59,59,49,69,1
2025-12-21,20,10,55,77,35,97,2
2025-12-21,20,11,55,55,46,64,1
2025-12-21,20,12,60,74,40,94,1
2025-12-21,20,13,53,53,43,63,1
2025-12-21,20,14,59,69,42,86,0
2025-12-21,20,15,69,81,50,100,1
2025-12-21,20,16,64,92,49,107,0
2025-12-21,20,17,41,57,35,63,1
2025-12-21,20,18,35,49,30,54,0
2025-12-21,20,19,43,44,35,52,1
2025-12-21,20,20,45,50,37,58,0
2025-12-21,21,1,68,80,52,96,0
2025-12-21,21,2,53,53,33,73,0
2025-12-21,21,3,56,59,44,71,0
2025-12-21,21,4,41,41,35,47,0
2025-12-21,21,5,66,78,49,95,1
2025-12-21,21,6,73,73,54,92,2
2025-12-21,21,7,51,60,39,72,0
2025-12-21,21,8,49,57,32,74,1
2025-12-21,21,9,42,42,29,55,0
2025-12-21,21,10,39,56,24,71,1
2025-12-21,21,11,55,71,43,83,0
2025-12-21,21,12,57,76,45,88,0
2025-12-21,21,13,47,58,30,75,0
2025-12-21,21,14,61,61,48,74,1
2025-12-21,21,15,39,39,26,52,0
2025-12-21,21,16,65,65,45,85,1
2025-12-21,21,17,58,59,45,72,0
2025-12-21,21,18,54,54,38,70,0
2025-12-21,21,19,54,54,41,67,0
2025-12-21,21,20,52,65,34,83,1
2025-12-21,22,1,57,78,39,96,1
2025-12-21,22,2,67,67,47,87,1
2025-12-21,22,3,47,47,34,60,1
2025-12-21,22,4,62,87,43,106,0
2025-12-21,22,5,47,47,40,54,0
2025-12-21,22,6,56,74,37,93,1
2025-12-21,22,7,46,46,39,53,0
2025-12-21,22,8,54,66,47,73,0
2025-12-21,22,9,43,43,33,53,1
2025-12-21,22,10,41,46,28,59,1
2025-12-21,22,11,54,60,36,78,0
2025-12-21,22,12,47,48,31,64,0
2025-12-21,22,13,59,59,39,79,1
