week_start,store_id,product_id,category,region,channel,promo_active,promo_type,promo_start_date,promo_end_date,discount_pct,units_sold,unit_price,sales_value,cost,gross_margin,stockout
2025-12-21,1,1,Carbonated,North,Supermarket,0,None,,,0.0,45,1.63,73.35,50.64,22.71,0
2025-12-21,1,2,Juice,North,Supermarket,1,Bundle,2025-12-21,2025-12-21,0.18,72,1.93,138.96,79.72,59.24,0
2025-12-21,1,3,Energy Drinks,North,Supermarket,0,None,,,0.0,55,2.54,139.7,88.46,51.24,0
2025-12-21,1,4,Juice,North,Supermarket,0,None,,,0.0,56,2.31,129.36,83.45,45.91,0
2025-12-21,1,5,Energy Drinks,North,Supermarket,0,None,,,0.0,47,2.67,125.49,69.85,55.64,0
2025-12-21,1,6,Carbonated,North,Supermarket,0,None,,,0.0,42,1.61,67.62,46.15,21.47,0
2025-12-21,1,7,Juice,North,Supermarket,0,None,,,0.0,55,2.51,138.05,83.48,54.57,0
2025-12-21,1,8,Carbonated,North,Supermarket,0,None,,,0.0,44,1.39,61.16,40.51,20.65,0
2025-12-21,1,9,Water,North,Supermarket,0,None,,,0.0,50,1.08,54.0,35.67,18.33,0
2025-12-21,1,10,Dairy,North,Supermarket,1,Discount,2025-12-21,2025-12-21,0.25,41,1.95,79.95,53.51,26.44,0
2025-12-21,1,11,Water,North,Supermarket,0,None,,,0.0,39,0.95,37.05,25.07,11.98,0
2025-12-21,1,12,Juice,North,Supermarket,0,None,,,0.0,45,2.52,113.4,75.75,37.65,0
2025-12-21,1,13,Dairy,North,Supermarket,1,Loyalty,2025-12-21,2026-01-04,0.08,59,2.33,137.47,77.05,60.42,0
2025-12-21,1,14,Water,North,Supermarket,0,None,,,0.0,51,0.95,48.45,31.49,16.96,0
2025-12-21,1,15,Carbonated,North,Supermarket,0,None,,,0.0,55,1.59,87.45,59.94,27.51,0
2025-12-21,1,16,Juice,North,Supermarket,1,Feature,2025-12-21,2026-01-04,0.12,55,1.96,107.8,62.75,45.05,0
2025-12-21,1,17,Energy Drinks,North,Supermarket,0,None,,,0.0,49,3.0,147.0,85.8,61.2,0
2025-12-21,1,18,Carbonated,North,Supermarket,1,Loyalty,2025-12-21,2026-01-04,0.26,61,1.11,67.71,38.74,28.97,0
2025-12-21,1,19,Energy Drinks,North,Supermarket,0,None,,,0.0,31,2.67,82.77,47.03,35.74,0
2025-12-21,1,20,Dairy,North,Supermarket,0,None,,,0.0,46,2.42,111.32,73.24,38.08,0
2025-12-21,2,1,Carbonated,South,Discounters,0,None,,,0.0,35,1.63,57.05,37.81,19.24,0
2025-12-21,2,2,Juice,South,Discounters,0,None,,,0.0,23,2.35,54.05,32.04,22.01,0
2025-12-21,2,3,Energy Drinks,South,Discounters,1,Bundle,2025-12-21,2025-12-21,0.16,22,2.13,46.86,29.05,17.81,0
2025-12-21,2,4,Juice,South,Discounters,0,None,,,0.0,35,2.31,80.85,53.75,27.1,0
2025-12-21,2,5,Energy Drinks,South,Discounters,0,None,,,0.0,16,2.67,42.72,28.2,14.52,0
2025-12-21,2,6,Carbonated,South,Discounters,0,None,,,0.0,35,1.61,56.35,36.73,19.62,0
2025-12-21,2,7,Juice,South,Discounters,1,Discount,2025-12-21,2026-01-04,0.26,17,1.86,31.62,18.25,13.37,1
2025-12-21,2,8,Carbonated,South,Discounters,0,None,,,0.0,27,1.39,37.53,25.32,12.21,0
2025-12-21,2,9,Water,South,Discounters,0,None,,,0.0,29,1.08,31.32,18.16,13.16,0
2025-12-21,2,10,Dairy,South,Discounters,0,None,,,0.0,25,2.6,65.0,38.25,26.75,0
2025-12-21,2,11,Water,South,Discounters,1,Feature,2025-12-21,2025-12-21,0.1,45,0.85,38.25,25.14,13.11,0
2025-12-21,2,12,Juice,South,Discounters,1,Feature,2025-12-21,2026-01-04,0.25,47,1.89,88.83,54.56,34.27,0
2025-12-21,2,13,Dairy,South,Discounters,0,None,,,0.0,28,2.53,70.84,42.81,28.03,0
2025-12-21,2,14,Water,South,Discounters,1,Feature,2025-12-21,2026-01-04,0.2,42,0.76,31.92,18.73,13.19,0
2025-12-21,2,15,Carbonated,South,Discounters,0,None,,,0.0,26,1.59,41.34,25.8,15.54,0
2025-12-21,2,16,Juice,South,Discounters,0,None,,,0.0,31,2.23,69.13,43.38,25.75,0
2025-12-21,2,17,Energy Drinks,South,Discounters,0,None,,,0.0,18,3.0,54.0,33.68,20.32,0
