store_id,store_name,region,sub_region,channel,store_format,area_type,market_size
1,NO SUP 1,North,North Zone 4,Supermarket,Supermarket,Suburban,Large
2,SO DIS 2,South,South Zone 2,Discounters,Discounters,Suburban,Medium
3,EA DIS 3,East,East Zone 4,Discounters,Discounters,Urban,Large
4,WE HYP 4,West,West Zone 2,Hypermarket,Hypermarket,Urban,Small
5,NO CON 5,North,North Zone 1,Convenience,Convenience,Rural,Medium
6,SO SUP 6,South,South Zone 3,Supermarket,Supermarket,Rural,Medium
7,EA DIS 7,East,East Zone 1,Discounters,Discounters,Urban,Large
8,WE CON 8,West,West Zone 3,Convenience,Convenience,Rural,Medium
9,NO HYP 9,North,North Zone 4,Hypermarket,Hypermarket,Suburban,Small
10,SO HYP 10,South,South Zone 3,Hypermarket,Hypermarket,Rural,Large
11,EA DIS 11,East,East Zone 1,Discounters,Discounters,Urban,Large
12,WE DIS 12,West,West Zone 2,Discounters,Discounters,Suburban,Large
13,NO HYP 13,North,North Zone 1,Hypermarket,Hypermarket,Urban,Large
14,SO SUP 14,South,South Zone 1,Supermarket,Supermarket,Suburban,Small
15,EA DIS 15,East,East Zone 1,Discounters,Discounters,Suburban,Small
16,WE SUP 16,West,West Zone 1,Supermarket,Supermarket,Rural,Small
17,NO CON 17,North,North Zone 2,Convenience,Convenience,Urban,Large
18,SO HYP 18,South,South Zone 2,Hypermarket,Hypermarket,Suburban,Large
19,EA SUP 19,East,East Zone 2,Supermarket,Supermarket,Rural,Medium
20,WE DIS 20,West,West Zone 2,Discounters,Discounters,Rural,Large
21,NO CON 21,North,North Zone 3,Convenience,Convenience,Suburban,Large
22,SO SUP 22,South,South Zone 1,Supermarket,Supermarket,Rural,Medium
23,EA SUP 23,East,East Zone 1,Supermarket,Supermarket,Urban,Medium
24,WE SUP 24,West,West Zone 2,Supermarket,Supermarket,Urban,Large
25,NO HYP 25,North,North Zone 1,Hypermarket,Hypermarket,Rural,Large
26,SO SUP 26,South,South Zone 1,Supermarket,Supermarket,Urban,Medium
27,EA SUP 27,East,East Zone 4,Supermarket,Supermarket,Suburban,Large
28,WE SUP 28,West,West Zone 4,Supermarket,Supermarket,Urban,Large
29,NO SUP 29,North,North Zone 2,Supermarket,Supermarket,Suburban,Medium
30,SO HYP 30,South,South Zone 3,Hypermarket,Hypermarket,Rural,Medium
31,EA SUP 31,East,East Zone 1,Supermarket,Supermarket,Suburban,Large
32,WE CON 32,West,West Zone 1,Convenience,Convenience,Rural,Small
33,NO SUP 33,North,North Zone 2,Supermarket,Supermarket,Suburban,Small
34,SO HYP 34,South,South Zone 2,Hypermarket,Hypermarket,Rural,Medium
35,EA SUP 35,East,East Zone 2,Supermarket,Supermarket,Suburban,Medium
36,WE DIS 36,West,West Zone 1,Discounters,Discounters,Urban,Medium
37,NO HYP 37,North,North Zone 1,Hypermarket,Hypermarket,Rural,Small
38,SO DIS 38,South,South Zone 4,Discounters,Discounters,Urban,Small
39,EA SUP 39,East,East Zone 1,Supermarket,Supermarket,Urban,Medium
40,WE HYP 40,West,West Zone 3,Hypermarket,Hypermarket,Urban,Medium
41,NO DIS 41,North,North Zone 4,Discounters,Discounters,Suburban,Medium
42,SO CON 42,South,South Zone 4,Convenience,Convenience,Rural,Large
43,EA HYP 43,East,East Zone 1,Hypermarket,Hypermarket,Suburban,Small
44,WE SUP 44,West,West Zone 3,Supermarket,Supermarket,Rural,Small
45,NO HYP 45,North,North Zone 2,Hypermarket,Hypermarket,Rural,Medium
46,SO HYP 46,South,South Zone 2,Hypermarket,Hypermarket,Rural,Small
47,EA HYP 47,East,East Zone 2,Hypermarket,Hypermarket,Urban,Large
48,WE SUP 48,West,West Zone 1,Supermarket,Supermarket,Rural,Small
49,NO CON 49,North,North Zone 3,Convenience,Convenience,Suburban,Large
50,SO DIS 50,South,South Zone 3,Discounters,Discounters,Urban,Large
